publication_number,title
US-2005179641-A1,Electrophoretic display and a method of driving an electrophoretic display
US-4637464-A,In situ retorting of oil shale with pulsed water purge
US-7617693-B2,Water purifying system and apparatus for simultaneously making ice and cold water using one evaporator
US-5111966-A,Water dispenser
US-4778443-A,Gas-oil-water separation system and process
US-6190558-B1,Reverse osmosis purification system
US-5320755-A,Method and apparatus for purifying water
US-2014127291-A1,Extended release acetaminophen liquid pharmaceutical compositions
US-5139666-A,Bottle and filter
US-4495067-A,Apparatus for preparation of infusion grade water
US-6299775-B1,Waste and wastewater treatment and recycling system
US-7681406-B2,Ice-making system for refrigeration appliance
US-3746640-A,Water purification system for small reverse osmosis unit with integral blowdown water disposal
US-4218317-A,Reverse osmosis water purifier
US-2008230450-A1,Filtration System for Preparation of Fluids for Medical Applications
US-5562824-A,Gravity water purifier
US-4615799-A,Water purification and sterilization system
US-4659463-A,System to remove contaminants from water
US-2010112152-A1,"Apparatus for producing a drink, and the use of the apparatus"
US-5989419-A,Spinner for cleaning cartridge-type water filters
US-5456831-A,Portable water filtering device
US-5066402-A,Method of changing operating modes in automatic water filtering apparatus using tubular membranes
US-5587055-A,Water distilling apparatus and method
US-8197698-B2,Methods for removing impurities from water
US-5244579-A,Transportable reverse osmosis water purification unit
US-5922378-A,Water filtration vessel
US-4609463-A,Water purification device
US-8529770-B2,Self-contained UV-C purification system
US-5196916-A,Highly purified metal material and sputtering target using the same
US-5186830-A,Water filtration apparatus
US-6200535-B1,Purification device having a porous body for purifying pollutants from an exhaust gas stream
US-7005060-B2,Upflow surface water runoff filtration system
US-6528790-B2,Method and apparatus for detecting water on a surface of an object
US-6149819-A,Air and water purification using continuous breakpoint halogenation and peroxygenation
US-3617539-A,Process for removing contaminants from waste-water
US-2004228830-A1,Multiparticulate compositions of milnacipran for oral administration
US-9402406-B2,Beverage brewer with flavor base removal
US-6270663-B1,Storm drain filter system
US-6416669-B1,Resin trap device for use in ultrapure water systems and method of purifying water using same
US-8496823-B2,Water filter for refrigerator water dispenser
US-4372260-A,Engine fluid heater
US-4923091-A,Self-filling bottled-water cooler
US-5110432-A,Method for separating dissolved species by electrodialysis
US-4995975-A,Unitary water cooler filter
US-5914045-A,Portable water filtration system and method
US-7857978-B2,Membrane for filtering of water
US-4645605-A,Filtration with biogenetic silica
US-7488414-B2,Storm water filter for positioning within a storm water inlet
US-9285807-B2,Electronic user interface for electronic mixing of water for residential faucets
US-6149805-A,Device for adding oxygen to water
US-3973987-A,Water recycle treatment system for use in metal processing
US-2002098239-A1,Sustained-release microencapsulated delivery sytem
US-8679348-B2,Filtration system for preparation of fluids for medical applications
US-5230624-A,Water purification system for dental instrument
US-5538636-A,Process for chemically oxidizing highly concentrated waste waters
US-6602822-B2,Catalyst for exhaust gas purification and exhaust gas purification system using the same
US-7955622-B2,Controlled-release galantamine formulations
US-6887375-B2,System to save and recycle domestic water
US-4851136-A,Method of and apparatus for filtering a medium
US-5472600-A,Gradient density filter
US-4775471-A,Hollow fiber filter device
US-6405875-B1,Water filtration device and method
US-7147775-B2,Method of purifying fischer-tropsch derived water
US-6572902-B2,Process for producing improved alkaline drinking water and the product produced thereby
US-5017285-A,Fuel filter and cartridge assembly
US-5277802-A,Dual cartridge filter employing pH control
US-5156749-A,Dewatering system for sludge removal
US-7517449-B2,Water purification filter easily replaced by connector and water purification system using the same
US-8961785-B2,Rotary disc filter and module for constructing same
US-5500131-A,Compositions and methods for water treatment
US-6083382-A,Water desalination system
US-4147631-A,Water control and distribution apparatus
US-4600512-A,Reverse osmosis water purification module
US-4904387-A,Waste treatment and water recycling toilet system
US-4735716-A,Quick-change filter cartridge and head therefor
US-7491335-B2,Removal of arsenic from water with oxidized metal coated pumice
US-5868945-A,Process of treating produced water with ozone
US-7419591-B2,Filter cartridge with check valve protection
US-8057784-B2,Particulate flavoring composition
US-5017318-A,Method of making a water filter
US-4218318-A,Process and apparatus for treating and purifying waste water
US-6312589-B1,Apparatus arranged to provide controllable water treatment customized to the conditions of water supplied to a beverage dispenser
US-2018280310-A1,Pharmaceutically effective composition for controlled drug delivery
US-2010163471-A1,Water desalination plant and system for the production of pure water and salt
US-3957634-A,Filtration means and method
US-4636307-A,Hollow-fiber filtering module and water purification device utilizing it
US-2016235068-A1,"Controlled release particles, production method thereof, molding material, and molded article"
US-4551254-A,Macroporous manganese dioxide water purifier
US-8051637-B2,Heat energy recapture and recycle and its new applications
US-2007028769-A1,Method and apparatus for producing potable water from air including severely arid and hot climates
US-7842121-B2,System and method for providing aqueous stream purification services
US-5064531-A,Water filtration apparatus
US-4780197-A,Chlorination module for cartridge filter unit
US-5120437-A,Portable water filtration apparatus
US-5393417-A,Water remediation and purification system and method
US-4253476-A,Tobacco filter and method of removing impurities from tobacco smoke
US-8808752-B2,Controlled release particles and method for producing the same
US-2004245174-A1,"Water purification cartridge, water purifier and method for cleaning water purifier"
US-6830688-B2,Integrated hydroponic and wetland wastewater treatment systems and associated methods
US-7081201-B2,Encapsulated filter cartridge
US-4802991-A,Method and apparatus for water purification
US-8591737-B2,Waste water treatment from a biomass-to-liquid process comprising synthesis gas production and integrated factory facility
US-6932947-B2,Fluid purification and disinfection device
US-5573666-A,Replaceable integrated water filtration and sterilization cartridge and assembly therefor
US-4197597-A,Water recycling with solids and foam removal
US-5156739-A,System for purifying and degasifying water by reverse osmosis
US-5084164-A,Filter assembly for an aquarium
US-6419823-B2,Apparatus and method for sanitizing and cleaning a filter system
US-6656361-B1,Membrane assisted evaporation process and device for brine concentration
US-5259972-A,Apparatus and method for purifying water
US-RE35741-E,Process for purifying water
US-2005115901-A1,Preparation of waste water containing sodium chloride for use in chlor-alkali electrolysis
US-2010254868-A1,Purification of a fluid using ozone with an adsorbent and/or a particle filter
US-6143184-A,Air and water purification using continuous breakpoint halogenation
US-6013178-A,Water filter and water filter assembly for robotic underwater swimming pool cleaning machines
US-7707830-B2,Pressurized vapor cycle liquid distillation
US-2006011544-A1,Membrane purification system
US-7135155-B1,Velocity induced catalyzed cavitation process for treating and conditioning fluids
US-3574329-A,Process for purifying water containing oil and solids
US-4380960-A,Pollution-free low temperature slurry combustion process utilizing the super-critical state
US-6613232-B2,Mobile floating water treatment vessel
US-8119012-B2,Water filter materials and water filters containing a mixture of microporous and mesoporous carbon particles
US-7008537-B2,"Microporous filter media, filtration systems containing same, and methods of making and using"
US-6312644-B1,Fluorescent monomers and polymers containing same for use in industrial water systems
US-6802999-B1,Method of fabricating protective coating for a crucible with the coating having channels formed therein
US-6375721-B1,Ionization filter for purifying air
US-7225620-B2,Diffusion driven water purification apparatus and process
US-6500334-B1,Stand alone water purifier
US-5928503-A,"Drinking water purification machine having upstream reservoir, reverse osmosis filter and purified water storage tank"
US-4512160-A,Machine for making ice flakes from sea water or fresh water
US-6273271-B1,Surface modified porous membrane and process
US-4377066-A,Pollution-free pressurized fluidized bed combustion utilizing a high concentration of water vapor
US-5635071-A,Recovery of carboxylic acids from chemical plant effluents
US-4197205-A,Deep bed filter
US-7872633-B2,Electrophoretic display and a method of shaking an electrophoretic display from an extreme position
US-2006286138-A1,Novel biodegradable aliphatic polyesters and pharmaceutical compositions and applications thereof
US-4045293-A,Water purification apparatus and method
US-6110839-A,Method of purifying alkaline solution and method of etching semiconductor wafers
US-4158680-A,Production of purified and humidified fuel gas
US-5518613-A,Portable water purifying and drinking device
US-5259815-A,Air outlet with aperiodic oscillation
US-4057089-A,Pneumatic tire for motor vehicles
US-7658828-B2,Regeneration of adsorption media within electrical purification apparatuses
US-4019986-A,Portable water purifier
US-4230571-A,Ozone/ultraviolet water purification
US-5157261-A,Detection device for high explosives
US-4725357-A,Removing selenium from water
US-5681463-A,Portable liquid purifying device having activated carbon filter and micro-porous membrane filter
US-4886601-A,Column filter using bundles of long fibers
US-6602425-B2,Method for low cost water disinfection
US-5393435-A,Removal of organic contaminants from aqueous media
US-4193206-A,Processes for drying sewage sludge and filtering water
US-2008156709-A1,Produced water treatment method and apparatus
US-5089144-A,Filter condition indicator having moveable sensor and aggregate flow counter
US-6428692-B2,In-line storm water drain filter system
US-4882056-A,Fluid filter element with an overlapped wrap
US-5575919-A,Method for removing toxic substances in water
US-5900143-A,Portable container for purifying drinking water
US-5407573-A,Continuous flow water-purifying device
US-7147772-B2,Low spillage replaceable water filter assembly
US-4983267-A,Water deionization and contaminants removal or degradation
US-4995976-A,Water purification straw
US-5223154-A,System for filtering liquids in a catch basin using filters in series and overflow channels
US-4031706-A,Superheating steam from light water nuclear reactors
US-4168228-A,Waste water purification
US-8734843-B2,Medicament sustained-release particles and method for preparing the same
US-5083442-A,Refrigerator with purified water supply
US-7022256-B2,Iron particles for purifying contaminated soil or ground water
US-4663222-A,"Non-woven fabric, and oil water separating filter and oil-water separating method"
US-4609460-A,Anaerobic purification equipment for waste water
US-5024766-A,Point of use deionized water purification unit
US-7080480-B2,Integrated tree root and storm water system
US-5833841-A,Method and apparatus for purifying water and for maintaining the purity thereof
US-4271015-A,Water treatment apparatus
US-6066339-A,Oral morphine multiparticulate formulation
US-2008128363-A1,Method and apparatus for purifying water
US-6321449-B2,Method of forming hollow channels within a component
US-4915828-A,Aquarium filter
US-5728293-A,External filter assembly for aquariums
US-5979012-A,Mobile apparatus for dispensing and recovering water and removing waste therefrom
US-5860354-A,Infusion machine including a water purification device
US-2007082048-A1,Sleep aid formulations
US-7861544-B2,Apparatus and methods for creating sparkling water from the atmosphere
US-2010133166-A1,Composite water permeable brick and composition for producing the same
US-6290848-B1,Filter cartridge for gravity-fed water treatment devices
US-7390343-B2,Drinking water filtration device
US-6120688-A,Portable reverse osmosis unit for producing drinking water
US-3817739-A,Method of inhibiting the growth of algae
US-6024867-A,Counter top water filter with replaceable electronic display monitor
US-6180016-B1,Microbiological water filtering
US-7520993-B1,Water treatment process for oilfield produced water
US-4311857-A,"1-Aryl-2-acylamido-3-fluoro-1-propanol acylates, methods for their manufacture and intermediates useful therein, methods for their use as antibacterial agents and compositions useful therefor"
US-2007274930-A1,Particulate Flavoring Composition
US-5190643-A,Water treatment device having means to count times used and limit useage
US-4995980-A,System for biological purification of water containing organic materials and derivative products
US-4049545-A,Chemical waste water treatment method
US-5405526-A,Bottle water disinfectant system
US-8273183-B2,Automated swimming pool cleaner having an angled jet drive propulsion system
US-7244348-B2,System and method for treatment of ballast water
US-4202770-A,Apparatus for purification of waste water by means of active carbon
US-4957624-A,Method of and arrangement for purifying contaminated water
US-8931277-B2,System and method for storing energy and purifying fluid
US-5269094-A,Apparatus for purifying waste water and air in an indoor environment
US-2012264920-A1,Processes for purification of proteins
US-5306421-A,Filtration system for a fish tank
US-2007086912-A1,Ultraviolet light emitting diode systems and methods
US-5580444-A,Water quality monitor for a water purification system
US-6001244-A,Performance water purification system
US-2008187579-A1,Extended-release dosage form
US-6673249-B2,Efficiency water desalination/purification
US-RE32597-E,Apparatus for the anaerobic purification of waste water
US-6574984-B1,Refrigerator door mounted water dispensing assembly
US-5772896-A,Self-regulating water purification composition
US-5308492-A,Process for the purification of industrial waste-waters by nanofiltration
US-4972861-A,Washing machine including improved apparatus for cleaning a recirculating filter thereof
US-2007098843-A1,Medicament sustained-release particles and method for preparing the same
US-6531117-B2,Aqueous dispersion of water-insoluble organic UV filter substances
US-4115266-A,Method for separating foreign substances by means of a filter forming a floating layer
US-7267769-B2,Water purification system utilizing a carbon block pre-filter
US-4065270-A,Process for purifying sodium hydroxide
US-5466367-A,Industrial waste water treatment
US-8080160-B2,Pitcher type water purifier and purification cartridge for the water purifier
US-3985866-A,Method of producing high-pressure hydrogen containing gas for use as a power source
US-5774056-A,Gauge for monitoring air filters
US-5435909-A,Water quality monitor for a water purification system
US-5203989-A,Portable air-water generator
US-4948505-A,Quick-change filter cartridge and head therefor
US-4151092-A,Portable water filter
US-6179902-B1,"Apparatus for recovering, refining, and storing hydrogen gas"
US-7294268-B2,Metal containing waste water treatment method and metal containing waste water treatment equipment
US-7487677-B2,Apparatus and methods for monitoring water consumption and filter usage
US-4312402-A,Osmotically pumped environmental control device
US-6436282-B1,Flow control module for RO water treatment system
US-6093312-A,Ice dispenser with an air-cooled bin
US-7470369-B2,Water treatment by dendrimer enhanced filtration
US-4853117-A,Purified water supply system
US-4377485-A,Apparatus and method for clarification of water using combined flotation and filtration processes
US-5960501-A,Ozonated laundry system with water re-use capability
US-8758621-B2,Process and apparatus for purifying impure water using microfiltration or ultrafiltration in combination with reverse osmosis
US-2004110781-A1,Pharmaceutical compositions containing indistinguishable drug components
US-4851818-A,Electronic controller for a water purifying unit
US-5803982-A,Pressure washing apparatus with ozone generator
US-4655933-A,System of ionized oxygen allotrope gas water purification and method and apparatus therefor
US-3561602-A,Liquid filter
US-5127427-A,Drinking water faucet
US-4212743-A,Filter
US-5728305-A,Waste water purification system
US-7645381-B2,Water dispenser and filter cartridge for use therein
US-5342528-A,"Water-purifying material, a process for manufacturing the same and a process for purifying water"
US-2009178456-A1,Apparatus and method for processing container ends for controlling dust
US-4758339-A,Equipment for the anaerobic purification of waste water
US-7297196-B2,"Anthrapyridone compound, water-based magenta ink composition and inkjet recording method"
US-5785844-A,End of life mechanism for water treatment cartridge
US-7544291-B2,Water purification system utilizing a plurality of ultraviolet light emitting diodes
US-2011027599-A1,Nanocomposite membranes and methods of making and using  same
US-5075016-A,Method for treating recirculating water
US-RE35252-E,Fluid flow control device for water treatment systems
US-4017734-A,Water purification system utilizing ultraviolet radiation
US-5662808-A,Process and article for disinfecting water
US-5700377-A,Purification of water
US-8475658-B2,Water purification device for arsenic removal
US-5785864-A,Apparatus for the purification of water and method therefor
US-5534145-A,Compact water filtration pump
US-6123751-A,Filter construction resistant to the passage of water soluble materials; and method
US-5350511-A,Sewage purification apparatus
US-7179370-B2,Energy-efficient biological treatment system with filtration membrane
US-6694739-B2,Modular water heater
US-4969991-A,Water purifying and dispensing system
US-5911745-A,Method and apparatus for cooling air and water
US-4620929-A,Process for the removal of protein and degradation products thereof from water
US-6165362-A,Bottle filter cap
US-9410256-B2,Ultrasound and acoustophoresis for water purification
US-5454936-A,Vacuum toilet system
US-4880537-A,Multiple disc type filter and disc construction useful therein
US-6636151-B2,Water dispensing station with communication system
US-6099735-A,Counter top reverse osmosis water purification system
US-4538508-A,Roof ventilator having fluid flow control and method of making same
US-4834267-A,Bottled water cooler air filter
US-5529612-A,Method and system for removing volatile organics from landfill gas
US-4151810-A,Aquarium with improved filter and temperature control system
US-7824552-B2,Mobile systems and methods of sufficiently treating water so that the treated water may be utilized in well-treatment operations
US-7470366-B2,Water purification system and method using reverse osmosis reject stream in an electrodeionization unit
US-6569321-B2,Method and apparatus for treating stormwater runoff
US-5914037-A,Filter device for a water filter
US-5958157-A,Magnetic multipole redirector of moving plasmas
US-6938627-B2,Dishwasher
US-9783434-B2,Real-time process control for an immersed membrane filtration system using a control hierarchy of discrete-state parameter changes
US-6368017-B2,Storm water detention filter system
US-7658843-B2,"Deep sea water harvesting method, apparatus, and product"
US-4966759-A,Fluid purification
US-7416666-B2,"Mobile desalination plants and systems, and methods for producing desalinated water"
US-4859386-A,Method of making a water filter
US-6500345-B2,Apparatus and method for treating water
US-3692880-A,Phosphated polyols and process for making same
US-5364512-A,Electrochemical ionization apparatus system for purifying water
US-5928512-A,Demountable filter for a bottle or the like
US-7507338-B2,Universal water purifier unit assembly device
US-4525272-A,Electrochemical ionization system for purifying water
US-5817231-A,Water purifying and vending apparatus
US-7081205-B2,"Mobile desalination plants and systems, and methods for producing desalinated water"
US-4730630-A,Dishwasher with power filtered rinse
US-6585885-B2,Water purification system and method including dispensed volume sensing and control
US-4652368-A,Water filtration system
US-6120698-A,Balanced water purification composition
US-6231637-B1,Process for producing high-purity silver materials
US-5976380-A,Article of manufacture including a surface modified membrane and process
US-2005171501-A1,Intravenous solution producing systems and methods
US-6200484-B1,Surface water filtration apparatus
US-6312597-B1,Apparatus for delivering ultra-low particle counts in semiconductor manufacturing
US-5026785-A,"Avidin and streptavidin modified water-soluble polymers such as polyacrylamide, and the use thereof in the construction of soluble multivalent macromolecular conjugates"
US-4592849-A,Method for removing water from produced crude oil
US-6004460-A,Portable water filtration bottle
US-4686037-A,Water filter apparatus
US-2012128764-A1,Controlled-release compositions comprising a proton pump inhibitor
US-5401405-A,Combined air/water backwash in a travelling bridge filter
US-4595497-A,Purified water reverse osmosis reservoir
US-8016993-B2,Electrostatic desalination and water purification
US-5718015-A,Mobile power wash device with water reclamation and hydrocarbon removal apparatus
US-5147532-A,Domestic grey water purifier using diverter and UV filter treater with preheater
US-5232582-A,Water purifying apparatus having moss-preventing filter and monitored air injection
US-6908546-B2,Apparatus and method for producing purified water having microbiological purity
US-7203977-B2,Fill and drain jetted hydromassage antimicrobial water vessel
US-5928504-A,Faucet-mounted water treatment device
US-4108775-A,Cartridge filter
US-3575180-A,Water-reactive filter element for smoking devices
US-5470472-A,Rotary drum filter with reciprocating nozzle means
US-4136012-A,Compact apparatus for the purification of waste water by a physical chemical treatment
US-7959799-B2,Street curb filter basket system
US-7784619-B2,Method of making microporous filter membrane
US-6387275-B1,Pretreatment system and method for recycling exhaust water
US-3568835-A,Liquid separator and filter unit
US-7014759-B2,Method and apparatus for water purification
US-2017296476-A1,Modified release abuse deterrent dosage forms
US-6734405-B2,Vaporizer using electrical induction to produce heat
US-5427693-A,Modular ozone water treatment apparatus and associated method
US-2003127379-A1,Surface water purifying catch basin
US-4714032-A,Pollution-free pressurized combustion utilizing a controlled concentration of water vapor
US-5474748-A,Water decontaminating device
US-5549828-A,Method and apparatus for in Situ water purification including sludge reduction within water bodies by biofiltration and for hypolimnetic aeration of lakes
US-6068855-A,Pharmaceutical composition containing a fusible carrier and method for producing the same
US-5891471-A,Pharmaceutical multiparticulates
US-4567340-A,Apparatus and method for drying solid materials
US-2005089458-A1,Refrigeration purifiers
US-5106512-A,Portable air-water generator
US-3680701-A,R. h. dual media filter
US-5849240-A,Method of preparing sustained release pharmaceutical compositions
US-5505857-A,Process for the treatment of metal-containing water and recovery of metals therefrom
US-5096596-A,Process and apparatus for removal of mineral contaminants from water
US-7850859-B2,Water treating methods
US-4228798-A,Suction receptacle with hygroscopic filter
US-6039873-A,Process for the thoroughgoing aerobic biological purification of waste water
US-2008142454-A1,"Cyclooctene monomers and polymers, and water purification articles and methods utilizing them"
US-7534349-B2,"Dual stage ultrafilter devices in the form of portable filter devices, shower devices, and hydration packs"
US-4290873-A,Chlorine gas generator apparatus
US-6804579-B1,Robotic wash cell using recycled pure water
US-7210182-B2,System and method for solvent recovery and purification in a low water or waterless wash
US-4588500-A,Fuel filter and dehydrator
US-4865056-A,Easily breakable plastic capsule and a water filter for a cigarette using the same
US-6692645-B1,Water reservoir filtration system and method
US-4696742-A,Active carbon fibers and filter adsorption unit for water purification comprising said fibers
US-4563285-A,Method for dewatering phosphate slimes
US-5192436-A,Tap water purifier to be directly coupled to faucet pipe
US-5225078-A,Pour-through pitcher filter
US-5766488-A,Method and apparatus for water treatment
US-3948774-A,Water purification process and apparatus
US-6110424-A,Hand-held ultraviolet water purification system
US-2004099608-A1,Ballast water treatment system
US-2009154990-A1,Light articulation ball-joint and method of manufacture of such a ball joint
US-7855211-B2,Protein kinase inhibitors
US-4997568-A,Process and apparatus for a biological reactor to purify water
US-5826854-A,Fluid routing system
US-5573669-A,Method and system for water purification by culturing and harvesting attached algal communities
US-5795459-A,Apparatus and method for water purification
US-6193881-B1,In-situ chemical reactor for recovery of metals or purification of salts
US-4976852-A,Fuel filter
US-5645727-A,On-line ozonation in ultra pure water membrane filtration
US-6324898-B1,Method and apparatus for testing the integrity of filtering membranes
US-8801922-B2,Dialysis system
US-7553418-B2,Method for water filtration
US-6106716-A,System for purification of domestic household effluent
US-9212443-B2,Washing machines
US-4959142-A,Water treating apparatus
US-2007000839-A1,Modified amine-aldehyde resins and uses thereof in separation processes
US-5173178-A,Water purifying apparatus with timed discharge after non-use periods
US-2006124444-A1,Method and device for deodorization and purification of exhaust gas or flue gas
US-4713175-A,Water purifier comprising stages mounted side-by-side to unitary header
US-6375848-B1,Water filtration using immersed membranes
US-4220195-A,Ion drag pumped heat pipe
US-5681476-A,Process for the purification of groundwater
US-5302356-A,Ultrapure water treatment system
US-4274968-A,Process for the purification of water
US-6409926-B1,Air and water purification using continuous breakpoint halogenation and peroxygenation
US-9217599-B2,Water introduction into fresh-food icemaker
US-8961890-B2,Purifying apparatus using photocatalytic sheet
US-3872013-A,Bactericidal water purifier for dechlorinated water
US-2003152634-A1,Extended release particle dispersion
US-6579343-B2,Purification of gas with liquid ionic compounds
US-5059296-A,Portable self-contained solar powered water purifier
US-5643444-A,"Device for filtering a liquid, particularly water"
US-7632416-B2,Hydroclone based fluid filtration system
US-4046685-A,Simultaneous production of multiple grades of purified water by reverse osmosis
US-7820202-B2,Extended release particle dispersion
US-2016081948-A1,Pulsed Release Phenylephrine Dosage Forms
US-7862728-B2,Ultraviolet water purification system
US-5067272-A,Apparatus for water desalination and drip irrigation of row crops
US-5698091-A,Home water purification system with filter end of life monitor
US-5445729-A,Counter top reverse osmosis system
US-5076922-A,Water-filtration apparatus
US-6986323-B2,Inland aquaculture of marine life using water from a saline aquifer
US-5983938-A,Combined faucet and filter assembly
US-4561974-A,Apparatus for the anaerobic filtration of waste water
US-4518503-A,Water purification method and device
US-6093328-A,Method for removing toxic substances in water
US-6736336-B2,Shower head
US-4828626-A,Cleaning system for swimming pools and the like
US-5935431-A,Ultraviolet ozone water purifier for water disinfection
US-6902653-B2,Apparatus and method for photocatalytic purification and disinfection of fluids
US-5709799-A,Super ozonating water purifier
US-6426001-B1,Cartridge adapter
US-5399260-A,Field portable water purification system
US-6495042-B1,Filter cartridge for a fuel filter having a keyed latch shut-off valve
US-6241103-B1,Filter cartridge for water treatment device
US-7625492-B2,Charge-based water filtration systems
US-3661262-A,Filtration and circulation system for maintaining water quality in mariculture tank
US-6998480-B2,Process for improving sucralose purity and yield
US-5084170-A,Fuel filter
US-4801376-A,Cleaner for swimming pools and the like
US-2003230535-A1,Downhole desalination of aquifer water
US-5445730-A,Grease/oil/water separator device for vehicle wash system
US-6000880-A,"Sewage water purification/reuse/redistribution, flood control, and power generating system"
US-5328609-A,Multi-stage radial flow filtration system
US-7441665-B2,Water purification cartridge
US-9511310-B2,Device and method for treating ballast water for ship
US-7981285-B2,Internal UV treatment of potable water systems
US-5567286-A,Apparatus for refining a low carbon steel melt
US-5128035-A,Fluid flow control device for water treatment systems
US-5906746-A,Method for the control of biodegradation
US-4971687-A,Apparatus for water treatment
US-7198722-B2,Process for pre-treating and desalinating sea water
US-6835307-B2,Thermal water treatment
US-4421643-A,Swimming pool filtering system
US-3774625-A,Carwash water reclaim system
