publication_number,title
US-8934292-B2,Balanced method for programming multi-layer cell memories
US-2006174055-A1,System and method for reducing memory requirements of firmware
US-2010058147-A1,Method and apparatus for reliable media transport
US-2017264393-A1,Decoding method and apparatus in system using sequentially connected binary codes
US-2004096107-A1,Method and computer program product for determining an efficient feature set and an optimal threshold confidence value for a pattern recogniton classifier
US-2018121765-A1,"Information processing apparatus, information processing method, and storage medium"
US-2008024646-A1,Focus verification in a digital imaging device
US-9778021-B2,Evaluation of optical coherence tomographic data prior to segmentation
US-2009160700-A1,Monitoring and Mapping of Atmospheric Phenomena
US-2011314537-A1,Automatic construction of human interaction proof engines
US-2002143464-A1,Alternate routes generation
US-8116401-B2,Method and system for digital spur cancellation
US-2009094303-A1,Filter operation unit and motion-compensating device
US-5740310-A,Method of maintaining display continuity from a CD with slow-motion or freeze capability
US-2014280540-A1,System and method for managing crowdsourced idea generating events
US-8799920-B2,Systems and methods of host-aware resource management involving cluster-based resource pools
US-2017269347-A1,Measuring microscope for measuring masks for lithographic methods and measuring method and calibration method therefor
US-5193142-A,Training module for estimating mixture gaussian densities for speech-unit models in speech recognition systems
US-7885906-B2,Problem solving system and method
US-2018152633-A1,"Image processing method and apparatus, electronic device and control method"
US-2009276473-A1,Method and apparatus for maintaining consistency between database and virtual table
US-2007271093-A1,Audio signal segmentation algorithm
US-2005223224-A1,"System and method for secure storage, transfer and retrieval of content addressable information"
US-2008027685-A1,Methods for determining whether an existing concrete composition is overdesigned
US-8165806-B2,Vehicle compass using telematics unit and vehicle sensor information
US-9126055-B2,AED faster time to shock method and device
US-6072830-A,Method for generating a compressed video signal
US-9173610-B2,EEG seizure analysis
US-6328135-B1,Modifying elevator group behavior utilizing complexity theory
US-6148111-A,Parallel digital image compression system for exploiting zerotree redundancies in wavelet coefficients
US-2016313976-A1,High performance division and root computation unit
US-8594394-B2,Method of determining a pseudo-identity on the basis of characteristics of minutiae and associated device
US-2018035247-A1,Event clustering for ble-mesh devices
US-8633686-B1,Methods and apparatus for characterizing magnetic properties of materials
US-9094612-B2,Back side illuminated global shutter image sensors with back side charge storage
US-2007206786-A1,Rfid security system
US-7810015-B2,Decoding with a concatenated error correcting code
US-2004120222-A1,Electronic apparatus including an analogue display device for displaying any position on a dial
US-9313026-B2,Key negotiation method and apparatus according to SM2 key exchange protocol
US-H1914-H,Method and system for mitigation of image distortion due to optical turbulence
US-5787198-A,Text recognition using two-dimensional stochastic models
US-8542347-B2,Super resolution telescope
US-2010023571-A1,Modular multiplication calculation apparatus used for Montgomery method
US-2008052376-A1,Exactly once cache framework
US-2008195414-A1,Method and system for remotely administering a diuretic therapy
US-6600823-B1,Apparatus and method for enhancing check security
US-2015269311-A1,Diagnosis and risk stratification of bladder cancer
US-2006077421-A1,System and method for driverless printers
US-2015112910-A1,Hardware enhancements to radial basis function with restricted coulomb energy learning and/or k-nearest neighbor based neural network classifiers
US-7155354-B1,Apparatus for and methods of analyzing the spectral signature of a dynamic event
US-6651012-B1,Method and apparatus for trending and predicting the health of a component
US-7805709-B2,System and method for bypassing execution of an algorithm
US-7979084-B2,Method and apparatus relating to power control
US-7725249-B2,Method and apparatus for congestion management
US-7895640-B2,Method for control of gaming systems and for generating random numbers
US-2005273767-A1,"Methods and systems of testing software, and methods and systems of modeling user behavior"
US-8086440-B2,System and method of prioritizing automated translation of communications from a first human language to a second human language
US-2007063850-A1,Method and system for proactive telemonitor with real-time activity and physiology classification and diary feature
US-10210376-B2,Method for determining an in-focus position and a vision inspection system
US-2014362810-A1,Method and apparatus for the joint design and operation of arq protocols with user scheduling for use with multiuser mimo in the downlink of wireless systems
US-2009053375-A1,System and method for making blended frozen products with liquid nitrogen
US-7975006-B2,Method and device for managing cluster membership by use of storage area network fabric
US-8363754-B2,Digital slicing device
US-2013322773-A1,Methods of object search and recognition
US-5596607-A,Method and an arrangement of estimating transmitted symbols at a receiver in digital signal transmission
US-6442745-B1,Method and apparatus for layout-constrained global routing
US-5337360-A,"Method and apparatus for creating, supporting, and using travelling programs"
US-5776073-A,Method and apparatus for analyzing uterine electrical activity from surface measurements for obstetrical diagnosis
US-2015039910-A1,Side channel power attack defense with pseudo random clock operation
US-2012036190-A1,Systems and methods for sharing compression histories between multiple devices
US-2013251265-A1,Method and device for parallel processing of images
US-2007061095-A1,Control system for a failure mode testing system
US-6138061-A,Onboard orbit propagation using quaternions
US-2013275334-A1,System and method for managing asset portfolios
US-2006225737-A1,Device and method for automatically regulating supplemental oxygen flow-rate
US-9031228-B2,Systems and methods for implementing block cipher algorithms on attacker-controlled systems
US-9355243-B2,Method and system for program authentication
US-5743097-A,Apparatus and method for controlling the flow rate of refrigerant to a refrigeration device
US-2004111598-A1,System and method to initialize a multiple function device in the event of an error within the initialization algorithm (s)
US-2016030743-A1,Systems and methods to optimize anti-tachycardial pacing (atp)
US-2011135220-A1,"Estimation of image motion, luminance variations and time-varying image aberrations"
US-2005140705-A1,Ink delivery and printing method for phasing printing systems
US-9521036-B2,"Resilient data communications with physical layer link aggregation, extended failure detection and load balancing"
US-2005017683-A1,Method for charging a battery
US-9161726-B2,Imaging system subject support motion algorithm(s)
US-2011300830-A1,Fingerprint scanning with optical navigation
US-2013185433-A1,Performance interference model for managing consolidated workloads in qos-aware clouds
US-2008162357-A1,System and method for secure downhole intelligent completions
US-2014216945-A1,Passive water heater anode rod depletion sensor algorithm
US-10027515-B1,Apparatus and method for introducing gain and phase offset via a second filter due to constraint of coefficients of a first filter
US-2008242260-A1,Wireless telecommunications location based services scheme selection
US-2005284156-A1,Lubricant return schemes for use in refrigerant cycle
US-5126978-A,"Undersea data collection, analysis, and display system"
US-8902055-B2,Rollover warning system for a vehicle
US-2014192797-A1,Systems and methods for transporting a clock signal over a network
US-2006173591-A1,Network coupled diagnosis and maintenance system
US-8963550-B2,System for automatically gathering battery information
US-7116732-B2,Method and apparatus for decoding a bit sequence
US-2011169970-A1,System and Method for Data Acquisition and Processing
US-2010302930-A1,Low Power Quality-Energy Scalable OFDMA Baseband Design
US-2014330826-A1,Methods and systems for data reduction in cluster analysis in distributed data environments
US-7248524-B2,Operating temperature optimization in a ferroelectric or electret memory
US-9442496-B1,Active airborne noise abatement
US-2011002471-A1,Systems and methods for transducer calibration and tuning
US-2013221993-A1,Frequency hopping algorithm for capacitance sensing devices
US-2009192619-A1,Passive electro-magnetically damped joint
US-8713309-B2,System and method for distributed security
US-8731317-B2,Image classification employing image vectors compressed using vector quantization
US-7809210-B2,Smart grey level magnifier for digital display
US-2004186735-A1,Encoder programmed to add a data payload to a compressed digital audio frame
US-2015058993-A1,System and method for discovering optimal network attack paths
US-2010284670-A1,"Method, system, and apparatus for extracting video abstract"
US-2008153449-A1,Method for multiple-input-multiple-output system demodulation
US-7363114-B2,Batch mixing method with standard deviation homogeneity monitoring
US-8463717-B2,"Method and apparatus for predicting preference rating for content, and method and apparatus for selecting sample content"
US-8214771-B2,Scatterometry metrology target design optimization
US-5840032-A,Method and apparatus for three-dimensional ultrasound imaging using transducer array having uniform elevation beamwidth
US-2008228798-A1,Method and apparatus for deep packet processing
US-2014249437-A1,Method and system to fully-automatically measure the st-segment level of electrocardiograms in real-time ecg monitoring
US-9122908-B2,Real-time people counting system using layer scanning method
US-2011313623-A1,System and method for peforming auto-location of a tire pressure monitoring sensor arranged with a vehicle wheel
US-8311102-B2,Bitstream switching in multiple bit-rate video streaming environments
US-2015066783-A1,Media search and license system and method
US-2005114284-A1,Finding the most interesting patterns in a database quickly by using sequential sampling
US-2014358670-A1,Targeted advertising
US-6705993-B2,Ultrasound imaging system and method using non-linear post-beamforming filter
US-2013061244-A1,Data communications in a parallel active messaging interface of a parallel computer
US-4843579-A,Weighing and filling method and apparatus
US-2006245349-A1,Collection window positioning using time tracking information
US-2014108981-A1,Weighted focus navigation of graphical user interface
US-2013305100-A1,System and method for predicting and avoiding network downtime
US-7437208-B2,System for computer-aided measurement of quality and/or process data in a paper machine
US-RE45775-E,"Method and system for robust, secure, and high-efficiency voice and packet transmission over ad-hoc, mesh, and MIMO communication networks"
US-5742504-A,Method and system for quickly developing application software for use in a machine vision system
US-2008106971-A1,Method of subsalt velocity analysis by combining wave equation based redatuming and kirchhoff based migration velocity analysis
US-8832300-B2,Systems and methods for identifying long matches of data in a compression history
US-2012105663-A1,Haptic Feedback Response
US-2008010210-A1,Method and arrangement for variably generating cryptographic securities in a host device
US-9008921-B2,Pressure regulation method for an automatic transmission
US-2007295101-A1,Sonar based multiphase flowmeter
US-9467199-B1,Compression using mu-law approximation
US-2011033059-A1,Method and system for reducing echo and noise in a vehicle passenger compartment environment
US-8655799-B1,Anticipatory logistics through sensor fusion and evolutionary minimization of response time in automated vehicles
US-8670955-B2,Systems and methods for reliability assisted noise predictive filtering
US-7789000-B2,Proportional length food slicing system
US-7920991-B2,"Characterizing the capacity region in multi-channel, multi-radio mesh networks"
US-2004088448-A1,"Embedded system and method for controlling, monitoring of instruments or devices and processing their data via control and data protocols that can be combined or interchanged"
US-7242152-B2,Systems and methods of controlling light systems
US-2011227825-A1,3D Pointer Mapping
US-6906886-B2,Peak to peak detect method to protect seek/settle induced encroachment
US-5930749-A,"Monitoring, identification, and selection of audio signal poles with characteristic behaviors, for separation and synthesis of signal contributions"
US-9887843-B1,RFID tags with dynamic key replacement
US-8943011-B2,Methods and systems for using map-reduce for large-scale analysis of graph-based data
US-2016103962-A1,Temporary cutaneous information device and associated method and multi-patient treatment infrastructure
US-9584335-B1,System and method of WiFi router based presence detection and control
US-7249255-B2,Apparatus and method for a hash processing system using multiple hash storage areas
US-9757021-B2,Global and semi-global registration for image-based bronchoscopy guidance
US-7162098-B1,System and method for increasing temporal and spatial capacity of systems that amplitude quantize data prior to processing
US-2014012516-A1,Apparatus for estimating a resonant frequency of a wind turbine tower
US-9705747-B1,Distributed path selection in hybrid networks
US-8279709-B2,Loudspeaker position estimation
US-2004162709-A1,System and method of accelerated active set search for quadratic programming in real-time model predictive control
US-8811727-B2,Methods for efficient classifier training for accurate object recognition in images and video
US-2005165546-A1,Method and apparatus for steering movable object by using control algorithm that takes into account the difference between the nominal and optimum positions of navigation antenna
US-2006274618-A1,Edge analysis in video quality assessment
US-7643584-B2,Efficient joint detection
US-8700260-B2,Land vehicles and systems with controllable suspension systems
US-2011319074-A1,Method and apparatus for low cost cellular roaming
US-9845740-B2,Throttle body fuel injection system with improved fuel distribution and idle air control
US-2014067757-A1,Method and System for Clustering Data Points
US-7092709-B1,Handover of a mobile station from an internal cellular communication system to an external cellular communication system
US-2018157906-A1,Method and apparatus for determining a document suitability for server-based optical character recognition (ocr) processing
US-5747810-A,Simultaneous absorption and diffusion tomography system and method using direct reconstruction of scattered radiation
US-RE43110-E,Pipelined maximal-sized matching cell dispatch scheduling
US-2008109257-A1,Systems and methods for a holistic well-being assessment
US-6295237-B1,Semiconductor memory configuration with a built-in-self-test
US-2008270549-A1,Extracting link spam using random walks and spam seeds
US-9197913-B2,System and method to improve user experience with streaming content
US-2003183065-A1,Method and system for creating a musical composition
US-RE45644-E,Fuel injector having algorithm controlled look-ahead timing for injector-ignition operation
US-2015046538-A1,System And Method For Algorithmic Selection Of A Consensus From A Plurality Of Ideas
US-2013262081-A1,Handheld electronic device and associated method enabling the generation of a proposed character interpretation of a phonetic text input in a text disambiguation environment
US-8107092-B2,Method and device for preparing a printout of a position-coding pattern
US-6314186-B1,"Block cipher algorithm having a robust security against differential cryptanalysis, linear cryptanalysis and higher-order differential cryptanalysis"
US-2015179193-A1,Multiple readers for high resolution and snr for high areal density application
US-8860751-B2,Method for producing a color image and imaging device employing same
US-6259791-B1,Method and apparatus in a wireless messaging system for controlling a hierarchical provision of service
US-7346104-B2,Adaptive receiving system and method for MIMO
US-2017109373-A1,Systems and methods for database geocoding
US-2005080783-A1,Universal interface for retrieval of information in a computer system
US-2010090897-A1,Radar apparatus and method for forming reception beam of the same
US-8653956-B2,Method and system for implementing a geofence boundary for a tracked asset
US-6220047-B1,Semi-frozen food product producing machine
US-7453493-B2,Image stabilization
US-2010283840-A1,Miniature celestial direction detection system
US-2009022252-A1,Channel response calculation in an OFDM receiver
US-2017154260-A1,"Learning method, computer-readable recording medium, and information processing apparatus"
US-2006198482-A1,Method and apparatus for maintaining a clock/data recovery circuit frequency during transmitter low power mode
US-2006190115-A1,System and method for controlling jobs of a production device
US-8930898-B2,Declarative commands using workflows
US-2018176774-A1,System and Method for Ensuring Secure Connections
US-7305863-B2,Impact sensor and method for testing the same
US-2015156501-A1,Video encoding and decoding
US-2012051434-A1,Video encoding
US-2010213761-A1,Field Level Inverter Controller
US-2009264141-A1,Robust Location Detection Based on Identifying Codes
US-7979158-B2,Blending algorithm for trajectory planning
US-2004148556-A1,Reduced complexity turbo decoding scheme
US-2015310273-A1,Static occlusion handling using directional pixel replication in regularized motion environments
US-8447231-B2,"Intelligent telematics information dissemination using delegation, fetch, and share algorithms"
US-2018038970-A1,Methods and apparatuses for reconstructing incident energy spectrum for a detector
US-6695693-B2,Combine having a system estimator to monitor hydraulic system pressure
US-8099165-B2,Expert system and method
US-2016342601-A1,Extracting unique field values from event fields
US-9694241-B2,Action detection and activity classification
US-6433333-B1,Infrared sensor temperature compensated response and offset correction
US-2003120747-A1,Thin client network system and data transmitting method therefor
US-6374376-B1,"Circuit, system and method for arranging data output by semiconductor testers to packet-based devices under test"
US-2002150180-A1,Method for enhancing soft-value information
US-5793763-A,Security system for network address translation systems
US-8543794-B2,"Adaptive integrated circuitry with heterogenous and reconfigurable matrices of diverse and adaptive computational units having fixed, application specific computational elements"
US-6041756-A,Active adaptive EGR and spark advance control system
US-5214718-A,Scan-in polygonal extraction of video images
US-7176960-B1,System and methods for generating spherical mosaic images
US-7733834-B2,Frame detection method for 802.11b/g based WLAN systems
US-2019038167-A1,Non-invasive Systems and Methods to Detect Cortical Spreading Depression for the Detection and Assessment of Brain Injury and Concussion
US-7333851-B2,Unified probabilistic framework for predicting and detecting seizure onsets in the brain and multitherapeutic device
US-2015365979-A1,Methods And Apparatus For Intelligent Connection Control And Emergency Assisting With mobile devices
US-8103619-B1,Compressing data stored in a database system
US-6442151-B1,System and method for variable reassignment of transmission channels
US-2004151383-A1,Method for the analysis of micro-array images and relative device
US-2018365558-A1,Real-time resource usage reduction in artificial neural networks
US-2011010764-A1,One-pass authentication mechanism and system for heterogeneous networks
US-7027504-B2,Fast computation of decision feedback equalizer coefficients
US-5379165-A,Method and apparatus for improving the accuracy of a tape servo track seek algorithm by using longitudinally correlated waveforms of lateral tape movement unique to each tape cassette
US-6504954-B1,Closed loop piecewise-linear histogram specification method and apparatus
US-2012294427-A1,Method for removing motion from non-ct sequential x-ray images
US-2017371019-A1,Gpu based implementation of sense (a parallel mri algorithm) using qr decomposition
US-7456966-B2,Alignment mark system and method to improve wafer alignment search range
US-2012158369-A1,Surfacing algorithm for designing and manufacturing 3d models
US-8548036-B2,"Noise detection method, noise detection apparatus, simulation method, simulation apparatus, and communication system"
US-2001033227-A1,Glass breakage detector
US-8771059-B2,Systems and methods for prize discovery games
US-7991561-B2,Ct determination by cluster analysis with variable cluster endpoint
US-7469027-B2,Symbol timing search algorithm
US-7340411-B2,"System and method for generating, capturing, and managing customer lead information over a computer network"
US-6898442-B2,Wide-band array antenna
US-2018035886-A1,Method of and system for processing signals sensed from a user
US-6845469-B2,"Method for managing an uncorrectable, unrecoverable data error (UE) as the UE passes through a plurality of devices in a central electronics complex"
US-6104799-A,Customer defined call setup
US-2005070286-A1,System and method for reconnecting dropped cellular phone calls
US-9146166-B2,Method and apparatus for determining an electrical torque of an electrical machine
US-2006100738-A1,Method and apparatus for selecting the operating parameters for a medical imaging system
US-9711109-B2,Data processing apparatus for transmitting/receiving compression-related indication information via display interface and related data processing method
US-5329478-A,Circuit and method for estimating gradients
US-2018363570-A1,Internal combustion engine having an injection amount control
US-5144248-A,Method and apparatus for measuring the voltage and charge of a battery
US-2016093098-A1,Filtered Shadow Mapping
US-6611502-B1,Spanning tree with rapid propagation of topology changes
US-10210776-B2,DPA protection of a rijndael algorithm
US-2009204716-A1,Media mix wiring protocol for media control
US-6393451-B2,Flexibility enhancement to the modified fast convolution algorithm
US-7299349-B2,Secure end-to-end notification
US-9049135-B2,Network spares audit optimization and maintenance systems and methods
US-2012275569-A1,Radiological image noise reduction system and method
US-8530850-B2,"High energy, real time capable, direct radiation conversion X-ray imaging system for Cd-Te and Cd-Zn-Te based cameras"
US-2013079654-A1,Episode classifier algorithm
US-2006277322-A1,System and method for implementing reference-based electronic mail compression
US-2017213089-A1,Methods and apparatuses for performing object tracking using graphs
US-2003130800-A1,Region definition procedure and creation of a repeat sequence file
US-8259883-B2,Timing recovery circuit and method thereof
US-2009208134-A1,Image Processing and Analysis Framework
US-7603562-B2,System and method for reducing memory requirements of firmware
US-2006077460-A1,Generation of metadata for acquired images
US-2018102109-A1,Luminescence Shock Avoidance in Display Devices
US-9547061-B2,Tumor segmentation and tissue classification in 3D multi-contrast
US-2010106022-A1,Carotid plaque identification method
US-2019041998-A1,System and method for inputting user commands to a processor
US-8316106-B2,System and method for assigning requests in a content distribution network
US-2016245656-A1,Generation and use of numeric identifiers for locating objects and navigating in spatial maps
US-8515002-B2,X-ray dark-field imaging system and method
US-2015058337-A1,Database access
US-2017180895-A1,Fitting a bilateral hearing prosthesis system
US-2007016937-A1,Generating an outbound connection security policy based on an inbound connections security policy
US-2010000303-A1,"Apparatus and method for determining the percentage of carbon equivalent, carbon and silicon in liquid ferrous metal"
US-2018007381-A1,Foreground detection for video stabilization
US-2007028054-A1,Method and system for time-weighted cache management
US-2009282116-A1,Method and device for managing cluster membership by use of storage area network fabric
US-5838696-A,Record carrier and devices for reading and recording such a record carrier
US-7467072-B2,Simulation of objects in imaging using edge domain decomposition
US-5499397-A,"Switched antenna diversity algorithm employing received signal strength, phase errors and recovered clock"
US-RE46956-E,Encryption-based security protection for processors
US-2004236512-A1,"Method and apparatus for chemometric estimations of fluid density, viscosity, dielectric constant, and resistivity from mechanical resonator data"
US-8533389-B1,Multi-client content addressable memory access control method
US-2001054065-A1,Connection concentrator for distributed object systems
US-7792191-B2,Device and method for performing half-pixel accuracy fast search in video coding
US-6407679-B1,System and method for entering text in a virtual environment
US-10146563-B2,Predictive layer pre-provisioning in container-based virtualization
US-2005018928-A1,Method for dynamically editing and enhancing image-processing chains in medical imaging equipment
US-2013231755-A1,Sensor fusion algorithm
US-2010088529-A1,Data-Mover Controller With Plural Registers For Supporting Ciphering Operations
US-2017083456-A1,Method and apparatus for preventing unauthorized access to contents of a register under certain conditions when performing a hardware table walk (hwtw)
US-5636293-A,Multiple module architecture for implementing full search block matching
US-2017078937-A1,Centralized Network Management for Different Types of RAT
US-8155095-B2,Wireless LAN data rate adaptation
US-4163214-A,Character recognition system
US-8160182-B2,Symbol detector and sphere decoding method
US-8281153-B2,Method for indexing encrypted column
US-2008255740-A1,Method For Controlling a Hydraulic Actuator Comprising a Rapid Drain Valve and a Control System and a Friction Coupling Comprising an Actuator of this Type
US-9221712-B2,Process for producing a cylindrical component made of glass by elongation
US-2009136117-A1,Method and apparatus for residue detection on a polished wafer
US-8108436-B2,Method and apparatus for calendaring reminders
US-9865037-B2,Method for upscaling an image and apparatus for upscaling an image
US-2016239981-A1,A semi automatic target initialization method based on visual saliency
US-2015243042-A1,Region-growing algorithm
US-2010237245-A1,Shutterless infrared imager algorithm with drift correction
US-4856004-A,Microprocessor based BCH decoder
US-2007173300-A1,Wireless headphones with dual antennas
US-2014122842-A1,Efficient usage of a register file mapper mapping structure
US-2012189119-A1,Method and Apparatus for Increasing the Speed of Cryptographic Processing
US-10013333-B2,Scalable continuous integration and delivery systems and methods
US-2012035905-A1,System and method for handling multiple languages in text
US-8353761-B2,Progressive game and processing system thereof
US-7065420-B1,Integrated real-time feature based costing
US-9020271-B2,Adaptive hierarchical clustering algorithm
US-10046770-B1,Systems and methods for estimating a road surface friction coefficient and vehicle lateral velocity using a decoupled dynamical model
US-6215992-B1,Universal dictation input apparatus and method
US-9338562-B2,"Listening system with an improved feedback cancellation system, a method and use"
US-7404166-B2,Method and system for mapping netlist of integrated circuit to design
US-8292237-B1,Control expansion for conventionally powered model railroads
US-2007222561-A1,Method and apparatus for efficiently querying and identifying multiple items on a communication channel
US-6332107-B1,Efficient high density train operations
US-2018091791-A1,Streaming volumetric video for six degrees of freedom virtual reality
US-5998218-A,Calibration system for an electronically monitored mechanical pipette
US-2004236573-A1,Speaker recognition systems
US-2012130700-A1,Method and system of estimating the cross-sectional area of a molecule for use in the prediction of ion mobility
US-2017032324-A1,Optimal course selection
US-7181670-B2,Pipeline architecture for maximum a posteriori (MAP) decoders
US-2008097937-A1,Distributed method for integrating data mining and text categorization techniques
US-5809488-A,Management system for a power station installation
US-2011307096-A1,blending algorithm for trajectory planning
US-7561266-B2,Calibrated spectroscopy instrument and method
US-7058675-B1,Apparatus and method for implementing efficient arithmetic circuits in programmable logic devices
US-2017148424-A1,Intuitive music visualization using efficient structural segmentation
US-7710787-B2,Method of erasing an EEPROM device
US-2004034838-A1,Method of generating a test pattern for simulating and/or testing the layout of an integrated circuit
US-9691486-B2,Data storage device and method of programming memory cells
US-2012083255-A1,Method for gender identification of a cell-phone subscriber
US-3924111-A,Electronic calculators for navigational purposes
US-2009210816-A1,Switchable panel layout extension
US-2011222761-A1,Method and system for preserving the creative intent within an image production chain
US-2009271793-A1,Mechanism for priority inheritance for read/write locks
US-6535544-B1,Frequency hopping system for intermittent transmission
US-9172537-B1,Array encryption core
US-7715866-B2,Power control
US-7584498-B2,Method and apparatus for enhanced cable modem operation
US-2011194742-A1,One-click correction of tumor segmentation results
US-2009024756-A1,Media converter and a system for mutually converting a packet-based data stream into a serial data stream
US-2010194713-A1,User interface device
US-8688649-B2,Scalable computer arrangement and method
US-2010241959-A1,Enhanced 3D Sound
US-2018157489-A1,Method and apparatus to process keccak secure hashing algorithm
US-2018278808-A1,Method of gamut mapping and related image conversion system
US-8812844-B2,Luhn validation and data security across multiple active domains
US-5416733-A,Apparatus for finding quotient in a digital system
US-5787467-A,Cache control apparatus
US-10061321-B2,"Autonomous mobile apparatus, autonomous mobile method, and autonomous mobile system"
US-6751309-B2,Method and apparatus for extending calls to internal switch extensions out to external network endpoints
US-8279950-B2,Compensation for transmission line length variation in a SERDES system
US-2015195745-A1,Adaptive Traffic Engineering Configuration
US-8155306-B2,Method and apparatus for increasing the speed of cryptographic processing
US-2015316505-A1,Methods And Devices For Sequencing Nucleic Acids In Smaller Batches
US-2005243303-A1,Method and device for measurements in blood
US-5959683-A,System to remove artifacts in a digital image derived from a television signal
US-9621796-B2,"Method, apparatus and computer program for capturing images with multiple image capture and image modification"
US-7965686-B1,Selecting a wireless access point when load information is not provided by all access points
US-2008186909-A1,Apparatus and Method for Scheduling of High-Speed Portable Internet System
US-8840775-B2,Regenerative gas sensor
US-7900207-B2,Interrupt and exception handling for multi-streaming digital processors
US-2006221819-A1,System and method for performing distributed policing
US-6061018-A,Method and system for using altitude information in a satellite positioning system
US-2015244416-A1,Digital filter for narrowband interference rejection
US-2012254836-A1,"Apparatus, System, and Method for Managing Industrial Software Configurations"
US-2011224991-A1,Scalable lossless audio codec and authoring tool
US-7864751-B2,"Traffic engineering method, system and computer program product for managing traffic over dynamic networks during both normal and unexpected traffic scenarios"
US-10082936-B1,Handedness determinations for electronic devices
US-2004017950-A1,Method of image compression
US-2019033425-A1,Weapon Fire Detection and Localization System for Electro-Optical Sensors
US-6269324-B1,Magnetic object tracking based on direct observation of magnetic sensor measurements
US-7895459-B2,Structure for a system and method of predicting power events in an intermittent power environment and dispatching computational operations of an integrated circuit accordingly
US-2010098350-A1,Blur Computation Algorithm
US-2018240472-A1,Voice Activity Detection Employing Running Range Normalization
US-2003034905-A1,System and method for encoding and decoding data files
US-7480712-B2,Computer automated group detection
US-8073520-B2,Systems and methods for replacing signal artifacts in a glucose sensor data stream
US-2003109194-A1,Technique for noise reduction in a torque-based chemical-mechanical polishing endpoint detection system
US-2013110485-A1,Determining Interwell Communication
US-7010776-B2,Extending the range of lithographic simulation integrals
US-8824564-B2,Method and system for redundancy-based decoding of video content
US-9160527-B2,"Systems, methods, and computer-readable media for secure digital communications and networks"
US-6507619-B1,Decoding system and method for digital communications
US-2006204968-A1,"Tools for diagnostics, molecular definition and therapy development for chronic inflammatory joint diseases"
US-5420857-A,Connection establishment in a flat distributed packet switch architecture
US-2014294055-A1,Multi-mode frequency domain equalization with adaptation to varying channel conditions
US-2002187753-A1,"Radio communication apparatus having more channel capacity and less feedback information, and method therefor"
US-7973703-B2,Method and apparatus for creating and processing universal radar waveforms
US-9370019-B2,Time-shared and concurrent multi-protocol beacon transmission design
US-10008178-B2,"Apparatus, methods, and systems for multi-primary display or projection"
